XP_004509754.1,XP_004509754.1,100.000,240,0,0,1,240,1,240,0.0,496,100.00
XP_004509754.1,XP_004490236.1,80.342,234,44,2,1,233,1,233,3.29e-133,374,88.03
XP_004509754.1,XP_004504397.1,47.706,218,106,2,1,210,1,218,1.37e-60,190,69.27
XP_004509754.1,XP_004507287.1,47.321,224,105,5,1,214,1,221,1.04e-59,188,66.96
XP_004509754.1,XP_004502274.1,46.025,239,105,6,1,220,1,234,5.13e-59,186,65.27
XP_004509754.1,XP_004492666.1,56.069,173,74,2,1,172,1,172,4.84e-58,184,76.88
XP_004509754.1,XP_004510895.1,50.704,213,89,8,1,208,1,202,4.11e-57,181,68.54
XP_004509754.1,XP_027192390.1,59.864,147,50,4,1,143,1,142,2.57e-50,164,76.87
XP_004509754.1,XP_012572503.1,47.826,184,85,3,1,177,24,203,2.48e-47,157,65.76
XP_004509754.1,XP_004504259.1,46.111,180,90,2,1,177,10,185,2.27e-45,151,66.11
XP_004509754.1,XP_027193486.1,44.767,172,93,2,1,172,1,170,3.38e-44,148,67.44
XP_004509754.1,XP_027193490.1,46.497,157,82,2,1,157,1,155,1.04e-42,142,68.79
XP_004509754.1,XP_012572611.1,46.667,180,75,3,1,177,24,185,2.25e-42,144,61.67
XP_004509754.1,XP_004499566.1,40.449,178,105,1,1,178,1,177,6.03e-42,142,67.42
XP_004509754.1,XP_004514527.1,40.223,179,106,1,1,179,1,178,4.83e-40,136,60.89
XP_004509754.1,XP_004496628.1,45.763,177,90,3,1,176,1,172,3.55e-39,136,66.67
XP_004509754.1,XP_004513865.1,40.957,188,91,4,1,177,1,179,1.89e-34,123,63.30
XP_004509754.1,XP_004498359.2,43.195,169,86,4,1,168,1,160,7.31e-34,120,63.31
XP_004509754.1,XP_012574996.1,57.273,110,46,1,1,110,1,109,1.08e-32,116,70.91
XP_004509754.1,XP_004490446.1,41.243,177,91,5,1,172,1,169,3.27e-30,112,61.02
XP_004509754.1,XP_004515127.1,40.936,171,98,3,1,170,1,169,3.97e-29,109,59.06
XP_004509754.1,XP_004512094.1,36.313,179,92,5,1,168,1,168,8.62e-28,105,59.22
XP_004509754.1,XP_004512093.1,36.313,179,92,5,1,168,1,168,9.02e-28,105,59.22
XP_004509754.1,XP_012573841.1,40.237,169,82,3,13,172,13,171,1.03e-26,102,56.80
XP_004509754.1,XP_012571563.1,41.212,165,89,5,17,178,19,178,9.16e-23,92.8,60.00
XP_004509754.1,XP_012571562.1,41.212,165,89,5,17,178,20,179,9.34e-23,92.8,60.00
XP_004509754.1,XP_004501539.1,31.304,230,131,3,1,203,73,302,2.47e-22,94.0,49.57
XP_004509754.1,XP_027187421.1,34.286,175,97,4,14,187,6,163,3.03e-19,83.2,54.86
XP_004509754.1,XP_004496858.1,49.296,71,33,1,2,69,9,79,2.32e-15,72.8,67.61
XP_004509754.1,XP_004496798.1,46.377,69,36,1,2,70,9,76,2.97e-14,69.7,72.46
XP_004509754.1,XP_004487221.1,47.143,70,36,1,1,70,7,75,3.11e-14,68.9,70.00
XP_004509754.1,XP_004511261.1,39.286,84,48,1,1,81,8,91,1.25e-13,67.8,60.71
XP_004509754.1,XP_004502140.1,44.286,70,38,1,1,70,8,76,1.58e-13,67.4,67.14
XP_004509754.1,XP_004516817.1,43.548,62,35,0,1,62,1,62,7.91e-13,64.7,69.35
XP_004509754.1,XP_004505413.1,47.170,53,28,0,1,53,14,66,1.71e-11,63.2,79.25
XP_004509754.1,XP_004504915.1,40.984,61,36,0,1,61,1,61,2.15e-11,60.8,67.21
XP_004509754.1,XP_004490240.1,39.241,79,45,1,109,187,63,138,6.36e-11,59.7,67.09
XP_004509754.1,XP_004516685.1,27.742,155,102,3,1,146,1,154,7.46e-11,61.2,52.26
XP_004509754.1,XP_004507578.1,49.123,57,29,0,2,58,12,68,1.68e-10,58.2,73.68
XP_004509754.1,XP_027190082.1,30.818,159,95,5,1,146,1,157,1.22e-08,53.9,45.91
XP_004509754.1,XP_004500457.1,29.221,154,97,3,1,142,1,154,1.29e-08,53.9,46.75
XP_004509754.1,XP_027189143.1,26.761,142,87,3,9,133,23,164,1.86e-08,52.8,51.41
XP_004509754.1,XP_027190039.1,29.333,150,95,4,1,139,1,150,2.53e-08,52.8,48.00
XP_004509754.1,XP_004513973.1,44.681,47,25,1,10,55,25,71,5.53e-06,45.8,70.21
XP_004509754.1,XP_004505405.1,26.667,165,111,3,1,155,1,165,0.012,36.2,47.88
